LON,LAT,NUMBER,STREET
-79.953529,43.2659267,2,King Street East
-79.9104353,43.3364413,141,Nisbet Boulevard
-79.9121313,43.3293666,93,Brian Boulevard
-79.9314539,43.2584257,22,West Park Avenue
-79.9200033,43.241956,68,Hepburn Crescent
-79.908864,43.3211344,27,Pentland Road
-79.9656257,43.2642756,62,Creighton Road
-79.9128052,43.321557,20,Kildonan Crescent
-79.9068109,43.2604574,23,Newton Avenue
-79.9087597,43.3390521,19,Savage Drive
-79.9156412,43.3285199,138,Parkside Drive
-79.9159715,43.3270004,70,Strathroy Crescent
-79.9149001,43.2588886,102,Traymore Avenue
-79.8997445,43.2961257,154,Northcliffe Avenue
-79.9075963,43.3391817,2,Hiscott Drive
-79.9632181,43.2730926,139,Sundial Crescent
-79.9315371,43.2635989,119,Grant Boulevard
-79.9110747,43.3438045,688,Centre Road
-79.9131347,43.2558466,69,Westwood Avenue
-79.9376833,43.2493298,62,Purvis Drive
-79.9695375,43.3909374,312,Progreston Road
-79.9623077,43.3003428,9,Mazza Avenue
-79.923503,43.2531859,43,Holmes Avenue
-79.9132796,43.3301576,164,Parkside Drive
-79.9160506,43.3129268,20,Dundas Street East
-79.9552717,43.2553778,66,Robinhood Drive
-79.9013505,43.2623909,20,Longwood Road South
-79.9102083,43.332441,200,Parkside Drive
-79.9689282,43.2534655,2,Skyline Drive
-79.9590533,43.2989564,364,Highway No. 5 West
-79.9150685,43.3229995,47,Heathfield Crescent
-79.9291783,43.3585579,36,John Martin Court
-79.9140034,43.3159382,53,Dundas Street East
-79.9036674,43.3329998,102,Rockhaven Lane
-79.9061865,43.3195673,27,Grindstone Way
-79.8983297,43.3341306,41,Melanie Crescent
-79.9092663,43.3321448,25,Chesapeake Drive
-79.9080743,43.3244228,24,McDonald Court
-79.8964609,43.3381465,174,Mill Street North
-79.9053686,43.2612001,21,Paisley Avenue South
-79.9592737,43.2657248,118,Hatt Street
-79.9445476,43.3990882,515,Concession 8 East
-79.9533457,43.2662196,1,King Street East
-79.9625612,43.3802037,1262,Centre Road
-79.9083397,43.258616,1050,Main Street West
-79.9155984,43.2595133,15,Forsyth Avenue South
-79.909776,43.2658546,57,Oak Knoll Drive
-79.9242964,43.2586359,13,Norfolk Street North
-79.9624955,43.266515,188,Hatt Street
-79.9582593,43.2661082,10,Foundry Street
-79.9261308,43.2612764,82,Thorndale Crescent
-79.9567049,43.3761874,1196,Centre Road
-79.9481558,43.269443,111,York Road
-79.9115126,43.2584959,65,Haddon Avenue South
-79.9712832,43.3520511,1092,Highway No. 6
-79.953344,43.2718155,25,Parkside Avenue
-79.9698889,43.3009385,447,Highway No. 5 West
-79.9560127,43.29957,334,Highway No. 5 West
-79.8972609,43.3412412,65,Wellington Street
-79.9713618,43.2600169,259,Governor's Road
-79.9192677,43.2564024,50,Broadway Avenue
-79.9433694,43.2744789,15,Glenmorris Drive
-79.9079298,43.2444531,600,Scenic Drive
-79.927892,43.320176,11,Parkside Drive
-79.9231976,43.2488707,293,Emerson Street
-79.9259257,43.2530322,157,Whitney Avenue
-79.9297781,43.252991,260,Whitney Avenue
-79.9153433,43.2553747,156,Dalewood Avenue
-79.9215353,43.2552502,7,Aylett Street
-79.929608,43.2532734,94,Rifle Range Road
-79.9180147,43.2562445,60,Bowman Street
-79.8964278,43.2435521,668,Garth Street
-79.9250291,43.2567714,24,Thorndale Street South
-79.9030756,43.3388315,330,Main Street North
-79.9394616,43.2677937,182,King Street East
-79.9213491,43.3708181,437,Concession 6 East
-79.9066585,43.3302692,99,Riley Street
-79.9182096,43.2553992,82,Bowman Street
-79.9240004,43.2568077,26,Norfolk Street South
-79.9220365,43.2514796,209,Emerson Street
-79.9292975,43.2492158,191,Ewen Road
-79.8979998,43.2531743,25,Hawthorne Avenue
-79.9131514,43.2562585,51,Gary Avenue
-79.9135687,43.2567579,38,Gary Avenue
-79.9144143,43.2571593,94,Dalewood Avenue
-79.9283724,43.2571071,1575,Main Street West
-79.939175,43.261265,21,Danbury Street
-79.9581647,43.2592746,54,Tally Ho
-79.9380533,43.2628227,9,Penge Court
-79.9378762,43.2618038,10,McMaster Avenue
-79.9373488,43.2603867,8,Desjardins Avenue
-79.9439978,43.2608937,7,South Street East
-79.9546258,43.2640538,35,Ogilvie Street
-79.964154,43.2586383,14,Tally Ho
-79.9472882,43.2595197,16,Rowanwood Avenue
-79.9479562,43.258978,16,Woodward Avenue
-79.9648769,43.267626,243,Hatt Street
-79.9617717,43.2629663,50,Kemp Drive
-79.9626025,43.263289,35,Kemp Drive
-79.944806,43.2698546,24,Cameron Avenue
-79.9604502,43.2636681,39,Central Park Avenue
-79.9694502,43.2699612,35,James Street
-79.9421724,43.2621106,12,Dunning Court
-79.9552025,43.2661059,24,King Street West
-79.9355935,43.2625198,9,Vilma Avenue
-79.9613794,43.2706894,119,Victoria Street
-79.9535569,43.2688477,2,Victoria Street
-79.9715611,43.2642135,1,Burdock Lane
-79.9510518,43.2643281,22,Baldwin Street
-79.9597072,43.2696248,25,Princess Street
-79.9353066,43.2497547,18,Purvis Drive
